myID,Entry,SDSS Name,Target Name,Target Descrip,ra,dec,z,iMAG,Start Time,Exp Time,Instrument,Filters/Gratings,Central Wavelength,Ang Sep (')
2,1377,003516.88-104731.2,J0035-1047,GALAXY;QUASAR,8.820333333333332,-10.792,0.7967,-24.77,2013-09-17 11:28:43,2055.034,WFC3,F160W,15369.176,0.0003929
3,2397,005838.95-102651.3,J0058-1026,GALAXY;QUASAR,14.662291666666667,-10.447583333333334,0.4898,-24.54,2013-09-17 14:40:57,2055.034,WFC3,F160W,15369.176,0.001
5,3816,013203.46-093153.6,J0132-0931,GALAXY;INTERACTING GALAXY,23.014416666666662,-9.531555555555556,0.1898,-22.52,2012-05-30 12:43:11,2611.751,WFC3,F160W,15369.176,0.001
14,16846,083158.49+503444.1,J0831+5034,GALAXY;QUASAR,127.99370833333334,50.57891666666667,0.5308,-23.74,2013-12-17 10:50:36,2421.774,WFC3,F160W,15369.176,0.011
16,17232,083417.90+491439.2,J0834+4914,GALAXY;INTERACTING GALAXY,128.5745833333333,49.24422222222222,0.1731,-22.83,2012-04-24 18:49:21,2811.753,WFC3,F160W,15369.176,0.016
19,22107,090133.42+031412.4,SDSSJ0901+0314,GALAXY;STARBURST,135.38925,3.2367777777777778,0.4586,-23.55,2015-04-24 15:53:42,2611.751,WFC3,F160W,15369.176,0.017
22,24536,091501.71+241812.1,SED4,GALAXY;ACCRETION DISK;QUASAR;RADIO GALAXY,138.75712499999997,24.303361111111112,0.844,-23.79,2017-02-25 14:41:24,697.128,WFC3,F160W,15369.176,0.005
25,27704,093027.21+240232.7,J0930+2402,GALAXY;QUASAR,142.613375,24.042416666666668,0.5592,-23.97,2013-12-16 12:31:45,2421.774,WFC3,F160W,15369.176,0.021
33,37785,102434.71+555626.4,J1024+5556,GALAXY;INTERACTING GALAXY,156.144625,55.940666666666665,0.1968,-22.68,2012-04-01 07:26:25,2811.753,WFC3,F160W,15369.176,0.013
37,40734,104133.43-000236.3,J1041-0002,GALAXY;INTERACTING GALAXY,160.38929166666665,-0.043416666666666666,0.2355,-22.55,2013-03-22 13:11:26,2611.751,WFC3,F160W,15369.176,0.018
40,46917,111800.12+233651.5,J1118+2336,GALAXY;QUASAR,169.5005,23.614305555555557,0.3814,-23.48,2013-12-18 18:49:43,2055.034,WFC3,F160W,15369.176,0.027
44,51865,114744.11-014601.5,J1147-0146,GALAXY;QUASAR,176.93379166666665,-1.7670833333333333,0.5531,-24.37,2013-12-17 01:47:28,2055.034,WFC3,F160W,15369.176,0.013
47,55661,121114.56+365739.5,J1211+3657,GALAXY;INTERACTING GALAXY,182.81066666666663,36.960972222222225,0.1709,-23.45,2013-01-09 15:13:10,2611.751,WFC3,F160W,15369.176,0.016
48,55674,121118.66+143810.4,J1211+1438,GALAXY;QUASAR,182.82774999999998,14.636222222222221,0.5804,-24.71,2013-12-19 03:20:04,513.758,WFC3,F160W,15369.176,0.014
70,81122,144825.09+355946.6,J1448+3559,GALAXY;INTERACTING GALAXY,222.10454166666665,35.99627777777778,0.1131,-22.34,2012-07-04 11:26:55,2611.751,WFC3,F160W,15369.176,0.022
80,92511,160545.92+532210.8,J1605+5322,GALAXY;INTERACTING GALAXY,241.44133333333326,53.36966666666667,0.1704,-22.62,2012-12-18 18:48:09,2811.753,WFC3,F160W,15369.176,0.01
84,100035,204956.61-001201.7,IBSZA9010,J2049-0012,312.48587499999996,-0.20047222222222225,0.3693,-24.24,2012-11-14 06:48:23,2611.751,WFC3,F160W,15369.176,0.008
85,100502,210927.29-061015.1,IBZF08023,J2109-0610,317.3637083333333,-6.170861111111112,0.5724,-24.51,2013-09-14 16:41:27,605.443,WFC3,F160W,15369.176,0.008
86,100939,213026.74-070320.6,IBSZA0010,J2130-0703,322.6114166666666,-7.055722222222222,0.1841,-22.45,2012-11-09 08:45:36,2611.751,WFC3,F160W,15369.176,0.025
87,101124,214000.49+120914.6,ICNP05020,SDSSJ2140+1209,325.0020416666666,12.154055555555557,0.7518,-24.5,2015-05-03 18:24:39,2611.751,WFC3,F160W,15369.176,0.004
